,Company,Town,,Address,Contact - Accounts,Contact - Entertainments 1,Contact - Entertainments 2,Contact - Emergency Number
227,Away Resorts ,Hemel Hempstead,,"The Maylands Building, 200 Maylands Avenue, Hemel Hempstead, Herts, HP2 7TG, Herts",Tel - Email,Tel - Email,Tel - Email,Tel
,,,,,,,,
4,Parkdean Resorts,,,"2nd Floor, ,One Gosforth Park Way, Gosforth Business Park, Newcastle upon Tyne, NE12 8ET ,United Kingdom
",,,,
,,,,,,,,
,,,,,,,,
,VENUE is CLIENT,,,,,,,
184,Beachcomber Cleethorpes,CLEETHORPES,,"208 North Sea Lane, , CLEETHORPES, DN36 4ET,",,,,
145,Billing Aquadrome,Northampton,,"Crow Lane,, Great Billing, Northampton, NN3 9DA,",,,,
45,Bunn Leisure,Selsey.,,"Paddock Lane, Chichester, Selsey., PO20 9EJ.,",,,,
192,Club Tropicana,CHAPEL ST LEONARDS,,"Golden Palm Resort, South Rd, CHAPEL ST LEONARDS, LINCOLNSHIRE, PE24 5TR, LINCOLNSHIRE",,,,
252,Flamingoland,Malton,,"The Club, Flamingo Land, Kirby Misperton, Malton, North Yorkshire, YO17 6UX, North Yorkshire",,,,
185,GOLDEN GATE HOLIDAY PARK,RHYL,,"Towyn Road, Towyn, RHYL, LL22 9HU,",,,,
207,Lyons Robin Hood Holiday Park,"Rhyl,",,"Coast Road,, , Rhyl,, LL18 3UU,",,,,
87,MAKIS LEISURE COMPLEX,BRIDLINGTON,,"South Cliffe Holiday Park, , BRIDLINGTON, YO15 3QN,",,,,
174,Mecca Bingo Luton,Luton,,"Skimpot Road, , Luton, LU4 0JB,",,,,
81,Newark Showground,Newark,,"Lincoln Rd, Newark-on-Trent, Newark, Nottinghamshire, NG24 2NY, Nottinghamshire",,,,
177,Seagull Inn,Burnham-on-Sea TA8 2RF,,"Northam Farm, South Road, Brean, Burnham-on-Sea TA8 2RF, TA8 2RF,",,,,
169,Seawick Holidays,CLACTON ON SEA,,"Beach Road, St Osyth, CLACTON ON SEA, Essex, CO16 8SG, Essex",,,,
238,The Bay Filey,Filey,,"The Bay Filey, 1 Moor Road, Filey, YO14 9GA,",,,,
136,"The Villa, Wrea Green",Preston,,"Moss Side Ln, Wrea Green, Preston, PR4 2PE,",,,,
78,Watermill Hotel,Hemel Hempstead,,"London Rd, Bourne End, Hemel Hempstead, Hertfordshire, Hertfordshire, Hertfordshire",,,,